metric,value
finish_count,39948
finish_ns,7951251349
wait_count,37191635
wait_ns,7590493571
submit_count,48251
buffer_read_count,40937
buffer_read_ns,10697532830
buffer_download_count,40937
buffer_download_bytes,43152064
buffer_download_ns,8192135735
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,380884
page_protect_ns,1593870123
page_invalidate_count,206273
frame_count,2911
frame_ring_count,2911
frame_p50_ns,33327335
frame_p95_ns,33338084
frame_p99_ns,33361455
