metric,value
finish_count,1427
finish_ns,270829728
wait_count,1427
wait_ns,256248934
submit_count,5977
buffer_read_count,1427
buffer_read_ns,280198902
buffer_download_count,1427
buffer_download_bytes,91328
buffer_download_ns,279691655
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,6482
page_protect_ns,31864300
page_invalidate_count,2142
frame_count,1559
frame_ring_count,1559
frame_p50_ns,33333200
frame_p95_ns,33343920
frame_p99_ns,33348290
