metric,value
finish_count,0
finish_ns,0
wait_count,5302027
wait_ns,202254738
submit_count,11418
buffer_read_count,0
buffer_read_ns,0
buffer_download_count,0
buffer_download_bytes,0
buffer_download_ns,0
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,1775313
page_protect_ns,7738165387
page_invalidate_count,1688413
frame_count,3843
frame_ring_count,3843
frame_p50_ns,33333362
frame_p95_ns,33349589
frame_p99_ns,50000731
