metric,value
finish_count,702572
finish_ns,47956369455
wait_count,14619110
wait_ns,44596568695
submit_count,722265
buffer_read_count,702578
buffer_read_ns,51873778040
buffer_download_count,702578
buffer_download_bytes,2793258432
buffer_download_ns,51192015481
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,5363005
page_protect_ns,23715387471
page_invalidate_count,4381895
frame_count,6631
frame_ring_count,6631
frame_p50_ns,33333329
frame_p95_ns,33380325
frame_p99_ns,50004436
