metric,value
finish_count,0
finish_ns,0
wait_count,20656583
wait_ns,382171492
submit_count,11148
buffer_read_count,0
buffer_read_ns,0
buffer_download_count,0
buffer_download_bytes,0
buffer_download_ns,0
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,334742
page_protect_ns,1497497017
page_invalidate_count,216041
frame_count,3911
frame_ring_count,3911
frame_p50_ns,16666757
frame_p95_ns,16672358
frame_p99_ns,16705019
