metric,value
finish_count,49150
finish_ns,9082842129
wait_count,16746618
wait_ns,8558978419
submit_count,58205
buffer_read_count,49157
buffer_read_ns,10264760412
buffer_download_count,49157
buffer_download_bytes,38658688
buffer_download_ns,9390687714
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,356317
page_protect_ns,1435503058
page_invalidate_count,159786
frame_count,3200
frame_ring_count,3200
frame_p50_ns,16666705
frame_p95_ns,16674566
frame_p99_ns,16679185
