metric,value
finish_count,44771
finish_ns,8000421878
wait_count,16856590
wait_ns,7633346580
submit_count,53022
buffer_read_count,44772
buffer_read_ns,9117692870
buffer_download_count,44772
buffer_download_bytes,35966912
buffer_download_ns,8289423592
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,249171
page_protect_ns,1096933940
page_invalidate_count,160912
frame_count,3011
frame_ring_count,3011
frame_p50_ns,16666760
frame_p95_ns,16674631
frame_p99_ns,16708452
