metric,value
finish_count,73044
finish_ns,10562188857
wait_count,47736885
wait_ns,9846754000
submit_count,83675
buffer_read_count,73560
buffer_read_ns,13147683712
buffer_download_count,73560
buffer_download_bytes,82236608
buffer_download_ns,10944958861
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,651984
page_protect_ns,2777982809
page_invalidate_count,341631
frame_count,3830
frame_ring_count,3830
frame_p50_ns,33329144
frame_p95_ns,33338017
frame_p99_ns,33359645
