metric,value
finish_count,0
finish_ns,0
wait_count,20107682
wait_ns,349675943
submit_count,5837
buffer_read_count,0
buffer_read_ns,0
buffer_download_count,0
buffer_download_bytes,0
buffer_download_ns,0
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,204261
page_protect_ns,986788751
page_invalidate_count,132422
frame_count,1975
frame_ring_count,1975
frame_p50_ns,16668002
frame_p95_ns,33336095
frame_p99_ns,49995196
