metric,value
finish_count,77013
finish_ns,13385992571
wait_count,61334952
wait_ns,12820725535
submit_count,90548
buffer_read_count,77112
buffer_read_ns,15370503387
buffer_download_count,77112
buffer_download_bytes,75965312
buffer_download_ns,13823556615
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,761199
page_protect_ns,3255312312
page_invalidate_count,411255
frame_count,4983
frame_ring_count,4983
frame_p50_ns,16669413
frame_p95_ns,33336937
frame_p99_ns,33348047
