metric,value
finish_count,25163
finish_ns,4650150691
wait_count,14486393
wait_ns,4373521524
submit_count,30333
buffer_read_count,25175
buffer_read_ns,5951215184
buffer_download_count,25175
buffer_download_bytes,22743872
buffer_download_ns,4832190896
image_download_count,0
image_download_bytes,0
image_download_ns,0
image_download_batches,0
image_download_batched,0
fault_dispatch_count,0
page_protect_count,181925
page_protect_ns,1215557027
page_invalidate_count,119391
frame_count,1793
frame_ring_count,1793
frame_p50_ns,16667652
frame_p95_ns,33335756
frame_p99_ns,66665431
